story_id,RE,CH,EM,SU,EG,CX
0,3.7,3.7,2.3,2.3,3.3,2.7
1,5.0,4.7,4.0,3.7,3.7,4.0
4,4.7,5.0,3.0,4.7,3.7,3.7
5,5.0,5.0,3.3,3.7,4.0,4.7
6,3.7,3.3,2.0,2.7,2.7,3.3
9,4.0,4.3,3.3,4.3,4.3,3.3
10,4.3,4.0,3.3,2.0,3.3,2.7
13,2.7,3.7,3.7,2.3,4.0,3.3
14,5.0,4.7,2.7,4.0,4.0,4.3
17,4.0,4.3,2.7,2.7,3.7,3.0
18,5.0,5.0,3.7,3.7,4.3,4.3
19,4.0,3.3,3.0,3.0,3.0,3.0
22,4.0,5.0,3.7,4.0,4.7,3.7
23,3.0,3.3,2.0,3.7,2.7,2.7
26,3.0,3.7,3.0,4.3,4.0,3.7
27,3.3,4.0,2.3,2.7,3.3,3.3
30,3.3,3.7,1.7,1.7,3.0,2.7
32,5.0,5.0,3.7,2.3,4.0,2.7
34,4.7,4.7,4.0,2.7,4.7,4.0
35,4.3,4.0,2.7,2.7,3.3,3.0
36,5.0,5.0,2.7,4.3,4.3,4.3
40,4.0,4.3,4.0,3.7,4.0,4.0
44,2.0,4.0,1.7,3.3,2.7,3.0
49,4.7,4.0,1.7,1.7,3.7,1.7
51,4.3,4.3,3.0,3.0,4.0,3.7
53,5.0,5.0,4.0,4.0,4.3,4.0
56,4.0,4.7,2.7,3.7,4.3,4.0
59,4.0,5.0,4.3,3.0,5.0,4.7
62,5.0,5.0,3.3,3.7,5.0,4.7
63,3.3,3.0,1.7,2.3,2.7,2.7
65,5.0,5.0,2.0,4.0,5.0,4.7
67,5.0,4.7,3.3,3.7,4.0,3.7
69,4.3,4.7,2.7,2.7,4.0,3.3
80,5.0,4.7,3.0,4.0,4.3,4.0
81,5.0,4.7,4.0,3.7,4.3,3.7
87,4.0,4.7,4.7,4.3,5.0,4.7
89,3.0,4.3,3.7,3.3,3.7,3.7
91,4.0,4.3,2.0,2.0,3.0,3.3
92,3.7,3.3,3.0,3.0,3.0,3.0
93,3.7,4.7,3.0,2.3,4.0,3.0
94,5.0,4.7,2.0,3.3,4.0,3.7
384,3.0,3.7,2.3,1.7,3.7,2.7
385,3.3,3.0,3.3,1.3,2.7,3.3
388,2.7,3.0,2.3,2.0,2.7,2.0
389,3.0,3.3,3.0,2.3,3.3,2.7
390,3.0,3.0,2.0,2.0,2.7,2.0
393,2.0,3.0,2.7,2.3,3.7,2.7
394,2.3,3.7,2.7,2.7,3.0,2.7
397,2.0,3.0,2.0,2.3,2.7,2.7
398,3.0,3.7,3.0,2.0,3.7,3.3
402,3.3,3.0,1.7,1.7,3.0,3.0
403,3.7,3.7,2.3,2.3,3.7,2.7
406,3.0,3.7,4.0,2.7,3.7,2.3
407,3.0,3.3,3.0,2.0,3.0,3.3
411,2.7,3.3,2.7,1.3,3.3,2.7
414,2.3,3.3,2.0,1.7,2.3,2.7
416,2.0,3.3,2.7,1.7,3.0,2.7
418,4.0,4.0,3.3,3.0,3.7,3.7
419,2.7,3.7,2.3,2.0,2.3,2.0
420,3.0,3.3,3.0,2.3,3.0,2.7
424,1.7,3.0,2.3,2.3,3.0,3.0
437,1.3,3.3,2.7,2.7,2.3,2.7
440,4.0,3.7,2.3,3.0,3.7,3.7
443,2.7,4.0,2.0,3.0,3.0,3.0
447,4.3,4.0,2.3,3.3,4.3,4.3
449,1.7,3.0,1.7,1.3,2.3,1.7
451,2.3,3.3,2.0,2.3,2.7,2.7
464,3.0,3.0,2.0,1.7,2.7,3.0
465,2.0,2.7,1.7,1.3,2.3,2.0
471,2.7,3.7,3.0,3.0,2.7,3.7
473,1.7,3.3,2.3,3.3,2.3,3.3
476,1.7,2.0,1.7,1.7,1.7,2.3
478,3.0,4.0,2.3,2.7,3.3,3.3
481,3.0,3.7,4.0,2.3,3.7,3.3
486,3.3,3.7,2.7,3.0,3.0,2.7
493,3.3,3.3,1.3,2.3,2.3,2.0
494,1.3,2.7,2.3,1.7,2.0,2.7
497,3.0,3.3,2.0,2.7,3.0,3.3
498,2.0,3.7,2.3,3.0,3.7,3.3
499,3.7,3.3,2.0,2.3,3.3,3.3
503,2.0,2.7,2.3,1.7,2.3,2.0
506,3.0,4.0,3.3,2.7,3.0,2.7
507,3.0,4.0,4.0,3.3,3.3,3.3
510,4.0,3.7,3.0,2.0,3.0,3.0
512,3.3,3.3,2.7,2.0,2.7,2.3
514,2.3,2.3,2.7,2.0,2.7,3.0
515,3.0,4.0,2.0,2.7,3.0,3.0
516,3.0,3.7,3.0,2.7,3.3,2.3
520,2.3,3.3,3.3,2.0,3.3,2.7
524,3.0,3.7,2.3,2.0,3.3,3.0
529,3.3,2.7,1.7,1.3,2.7,1.3
531,1.3,3.0,2.0,2.0,3.0,2.3
533,3.0,3.0,1.0,1.7,1.7,1.7
536,3.3,3.7,2.3,2.3,3.3,2.7
542,2.3,3.0,2.3,2.0,2.3,2.3
543,1.7,3.7,2.3,2.3,3.3,3.3
545,3.0,2.3,2.3,1.3,2.3,2.3
549,4.0,3.0,3.0,1.7,2.0,2.3
560,3.0,3.3,1.7,1.7,2.7,2.7
561,3.0,2.7,2.7,2.0,3.0,2.7
567,1.3,3.3,1.7,2.7,3.0,2.7
569,1.0,2.3,2.3,1.0,2.0,2.3
571,1.3,2.3,2.7,2.0,2.7,2.7
573,2.3,3.3,2.7,2.7,3.3,3.3
574,3.0,3.3,2.3,2.7,3.0,3.0
