story_id,rater_id,Relevance,Coherence,Empathy,Surprise,Engagement,Complexity
1100,Rater A,5.0,5.0,3.0,3.0,3.0,4.0
1100,Rater B,5.0,5.0,3.0,2.0,4.0,3.0
1101,Rater A,4.0,4.0,5.0,3.0,5.0,3.0
1101,Rater B,5.0,5.0,5.0,3.0,4.0,2.0
1102,Rater A,5.0,5.0,4.0,4.0,4.0,3.0
1102,Rater B,5.0,5.0,5.0,4.0,5.0,2.0
1103,Rater A,5.0,3.0,4.0,4.0,4.0,4.0
1103,Rater B,3.0,5.0,3.0,5.0,4.0,4.0
1104,Rater A,5.0,5.0,4.0,5.0,4.0,4.0
1104,Rater B,5.0,5.0,5.0,4.0,5.0,5.0
1105,Rater A,4.0,4.0,3.0,4.0,4.0,4.0
1105,Rater B,4.0,5.0,2.0,4.0,4.0,3.0
1106,Rater A,5.0,5.0,3.0,3.0,3.0,3.0
1106,Rater B,4.0,3.0,1.0,2.0,2.0,3.0
1107,Rater A,5.0,5.0,5.0,4.0,4.0,4.0
1107,Rater B,4.0,4.0,4.0,4.0,4.0,4.0
1108,Rater A,5.0,5.0,4.0,4.0,4.0,4.0
1108,Rater B,4.0,5.0,4.0,4.0,4.0,4.0
1109,Rater A,5.0,4.0,4.0,3.0,4.0,3.0
1109,Rater B,5.0,5.0,5.0,3.0,5.0,4.0
1110,Rater A,5.0,5.0,4.0,3.0,4.0,5.0
1110,Rater B,4.0,5.0,3.0,4.0,4.0,5.0
1111,Rater A,5.0,5.0,5.0,5.0,5.0,5.0
1111,Rater B,5.0,5.0,5.0,5.0,5.0,5.0
1112,Rater A,3.0,4.0,4.0,3.0,4.0,3.0
1112,Rater B,2.0,5.0,3.0,4.0,3.0,3.0
1113,Rater A,5.0,5.0,3.0,4.0,4.0,4.0
1113,Rater B,5.0,5.0,3.0,5.0,5.0,4.0
1114,Rater A,4.0,5.0,3.0,3.0,4.0,3.0
1114,Rater B,5.0,5.0,3.0,3.0,4.0,4.0
1115,Rater A,5.0,5.0,3.0,3.0,4.0,4.0
1115,Rater B,5.0,5.0,2.0,3.0,4.0,4.0
1116,Rater A,5.0,4.0,4.0,3.0,4.0,4.0
1116,Rater B,5.0,4.0,3.0,4.0,4.0,4.0
1117,Rater A,5.0,4.0,4.0,4.0,4.0,5.0
1117,Rater B,5.0,5.0,5.0,5.0,5.0,5.0
1118,Rater A,4.0,5.0,4.0,4.0,4.0,5.0
1118,Rater B,5.0,5.0,5.0,5.0,5.0,5.0
1119,Rater A,5.0,4.0,5.0,4.0,4.0,4.0
1119,Rater B,5.0,5.0,3.0,4.0,3.0,3.0
1120,Rater A,4.0,4.0,4.0,4.0,3.0,4.0
1120,Rater B,5.0,5.0,3.0,3.0,2.0,4.0
1121,Rater A,5.0,5.0,4.0,3.0,4.0,4.0
1121,Rater B,5.0,5.0,5.0,3.0,4.0,4.0
1122,Rater A,4.0,4.0,3.0,3.0,3.0,3.0
1122,Rater B,3.0,3.0,1.0,2.0,2.0,1.0
1123,Rater A,5.0,5.0,4.0,4.0,4.0,3.0
1123,Rater B,5.0,5.0,5.0,4.0,4.0,3.0
1124,Rater A,5.0,5.0,4.0,3.0,4.0,5.0
1124,Rater B,5.0,5.0,5.0,4.0,4.0,5.0
1125,Rater A,5.0,4.0,3.0,4.0,3.0,4.0
1125,Rater B,5.0,4.0,2.0,3.0,3.0,4.0
1126,Rater A,2.0,4.0,4.0,4.0,5.0,5.0
1126,Rater B,3.0,3.0,4.0,4.0,5.0,5.0
1127,Rater A,5.0,5.0,5.0,4.0,4.0,5.0
1127,Rater B,5.0,5.0,5.0,5.0,5.0,4.0
1128,Rater A,2.0,5.0,5.0,3.0,4.0,4.0
1128,Rater B,2.0,4.0,4.0,4.0,4.0,4.0
1129,Rater A,3.0,4.0,3.0,3.0,3.0,3.0
1129,Rater B,3.0,4.0,2.0,2.0,2.0,3.0
1130,Rater A,5.0,5.0,4.0,4.0,4.0,4.0
1130,Rater B,5.0,5.0,5.0,5.0,5.0,5.0
1131,Rater A,5.0,5.0,4.0,4.0,5.0,5.0
1131,Rater B,5.0,5.0,5.0,5.0,5.0,5.0
1132,Rater A,5.0,4.0,4.0,2.0,3.0,2.0
1132,Rater B,5.0,5.0,5.0,3.0,4.0,3.0
1133,Rater A,5.0,5.0,4.0,5.0,5.0,5.0
1133,Rater B,5.0,5.0,5.0,5.0,5.0,5.0
1134,Rater A,5.0,5.0,5.0,3.0,4.0,4.0
1134,Rater B,5.0,5.0,5.0,3.0,4.0,5.0
1135,Rater A,5.0,4.0,4.0,3.0,3.0,3.0
1135,Rater B,5.0,5.0,2.0,2.0,2.0,3.0
1136,Rater A,2.0,5.0,4.0,3.0,4.0,5.0
1136,Rater B,2.0,4.0,5.0,4.0,4.0,4.0
1137,Rater A,5.0,5.0,4.0,2.0,2.0,2.0
1137,Rater B,5.0,5.0,5.0,3.0,4.0,3.0
1138,Rater A,5.0,5.0,5.0,4.0,5.0,4.0
1138,Rater B,5.0,5.0,5.0,3.0,5.0,4.0
1139,Rater A,4.0,4.0,3.0,3.0,3.0,4.0
1139,Rater B,3.0,4.0,3.0,4.0,3.0,4.0
1140,Rater A,3.0,4.0,3.0,2.0,2.0,3.0
1140,Rater B,3.0,3.0,2.0,3.0,2.0,4.0
1141,Rater A,5.0,5.0,4.0,3.0,4.0,4.0
1141,Rater B,5.0,5.0,2.0,2.0,3.0,3.0
1142,Rater A,4.0,4.0,3.0,3.0,3.0,3.0
1142,Rater B,3.0,4.0,3.0,3.0,4.0,4.0
1143,Rater A,5.0,3.0,4.0,3.0,2.0,4.0
1143,Rater B,5.0,3.0,3.0,3.0,3.0,3.0
1144,Rater A,5.0,5.0,5.0,5.0,4.0,5.0
1144,Rater B,5.0,5.0,5.0,4.0,5.0,5.0
1145,Rater A,5.0,5.0,4.0,3.0,4.0,4.0
1145,Rater B,5.0,5.0,5.0,4.0,5.0,4.0
1146,Rater A,4.0,4.0,4.0,3.0,3.0,2.0
1146,Rater B,5.0,5.0,5.0,3.0,5.0,3.0
1147,Rater A,5.0,5.0,2.0,3.0,4.0,4.0
1147,Rater B,5.0,5.0,3.0,3.0,4.0,3.0
1148,Rater A,5.0,5.0,4.0,5.0,5.0,4.0
1148,Rater B,5.0,5.0,5.0,4.0,5.0,5.0
1149,Rater A,5.0,5.0,4.0,3.0,3.0,4.0
1149,Rater B,5.0,5.0,5.0,4.0,4.0,3.0
1150,Rater A,5.0,4.0,4.0,3.0,4.0,4.0
1150,Rater B,5.0,5.0,5.0,5.0,5.0,3.0
1151,Rater A,5.0,5.0,4.0,5.0,4.0,5.0
1151,Rater B,5.0,5.0,5.0,5.0,5.0,5.0
1152,Rater A,5.0,5.0,4.0,4.0,5.0,5.0
1152,Rater B,5.0,5.0,5.0,5.0,5.0,4.0
1153,Rater A,5.0,4.0,4.0,3.0,3.0,4.0
1153,Rater B,5.0,4.0,4.0,4.0,3.0,4.0
1154,Rater A,4.0,5.0,4.0,4.0,4.0,4.0
1154,Rater B,2.0,5.0,5.0,3.0,4.0,3.0
1155,Rater A,4.0,3.0,4.0,4.0,3.0,3.0
1155,Rater B,5.0,3.0,4.0,5.0,3.0,3.0
1156,Rater A,5.0,5.0,4.0,4.0,4.0,5.0
1156,Rater B,5.0,5.0,5.0,3.0,4.0,4.0
1157,Rater A,5.0,4.0,4.0,3.0,4.0,4.0
1157,Rater B,5.0,4.0,4.0,3.0,4.0,4.0
1158,Rater A,5.0,3.0,4.0,4.0,5.0,4.0
1158,Rater B,5.0,4.0,5.0,4.0,5.0,5.0
1159,Rater A,4.0,4.0,4.0,3.0,3.0,4.0
1159,Rater B,5.0,5.0,5.0,4.0,5.0,5.0
1160,Rater A,5.0,4.0,3.0,3.0,3.0,4.0
1160,Rater B,5.0,4.0,2.0,3.0,3.0,3.0
1161,Rater A,4.0,4.0,4.0,3.0,4.0,5.0
1161,Rater B,5.0,5.0,5.0,3.0,5.0,4.0
1162,Rater A,5.0,5.0,4.0,4.0,3.0,5.0
1162,Rater B,5.0,5.0,5.0,4.0,5.0,5.0
1163,Rater A,5.0,5.0,4.0,4.0,5.0,4.0
1163,Rater B,5.0,5.0,5.0,5.0,5.0,4.0
1164,Rater A,5.0,4.0,4.0,3.0,3.0,3.0
1164,Rater B,4.0,5.0,5.0,3.0,4.0,3.0
1165,Rater A,5.0,5.0,5.0,4.0,4.0,5.0
1165,Rater B,5.0,5.0,5.0,5.0,5.0,5.0
1166,Rater A,5.0,5.0,4.0,4.0,5.0,5.0
1166,Rater B,5.0,5.0,5.0,5.0,5.0,5.0
1167,Rater A,4.0,5.0,4.0,5.0,4.0,4.0
1167,Rater B,5.0,5.0,5.0,5.0,5.0,5.0
1168,Rater A,5.0,4.0,5.0,4.0,3.0,4.0
1168,Rater B,5.0,5.0,5.0,4.0,4.0,4.0
1169,Rater A,5.0,4.0,5.0,4.0,4.0,4.0
1169,Rater B,5.0,5.0,5.0,5.0,5.0,4.0
1170,Rater A,5.0,5.0,4.0,3.0,5.0,3.0
1170,Rater B,5.0,5.0,5.0,3.0,5.0,4.0
1171,Rater A,5.0,4.0,3.0,3.0,3.0,4.0
1171,Rater B,2.0,4.0,4.0,4.0,5.0,4.0
1172,Rater A,5.0,5.0,4.0,4.0,3.0,4.0
1172,Rater B,5.0,5.0,5.0,5.0,5.0,4.0
1173,Rater A,5.0,4.0,4.0,3.0,4.0,4.0
1173,Rater B,5.0,5.0,5.0,3.0,4.0,3.0
1174,Rater A,5.0,5.0,4.0,3.0,4.0,4.0
